BlockType,ParameterPath,Type,Optional,SuggestedTab,SuggestedControl
ContainerBlock,style.marginTop,string,true,styles,text
ContainerBlock,style.overlayColor,string,true,styles,color
ContainerBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
ContainerBlock,style.padding,string,true,styles,text
ContainerBlock,style.parallax,boolean,true,styles,toggle
ContainerBlock,style.widthResp.desktop,string,true,styles,text (CSS)
ContainerBlock,style.widthResp.mobile,string,true,styles,text (CSS)
DividerBlock,borderStyle,enum<solid|dashed|dotted>,true,styles,segmented
DividerBlock,color,string,true,styles,color
DividerBlock,showOnDesktop,boolean,true,settings,toggle
DividerBlock,showOnLg,boolean,true,settings,toggle
DividerBlock,showOnMd,boolean,true,settings,toggle
DividerBlock,showOnMobile,boolean,true,settings,toggle
DividerBlock,showOnSm,boolean,true,settings,toggle
DividerBlock,showOnXl,boolean,true,settings,toggle
DividerBlock,style.backgroundColor,string,true,styles,color
DividerBlock,style.backgroundImageUrl,string,true,styles,media
DividerBlock,style.backgroundPosition,string,true,styles,text (CSS)
DividerBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
DividerBlock,style.backgroundRepeat,string,true,styles,text
DividerBlock,style.backgroundSize,string,true,styles,text (CSS)
DividerBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
DividerBlock,style.blendMode,string,true,styles,text
DividerBlock,style.borderRadius,string,true,styles,text (CSS)
DividerBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
DividerBlock,style.gap,string,true,styles,text
DividerBlock,style.gradientDirection,string,true,styles,text
DividerBlock,style.gradientFrom,string,true,styles,text
DividerBlock,style.gradientTo,string,true,styles,text
DividerBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
DividerBlock,style.hoverScale,number,true,styles,slider+number
DividerBlock,style.hoverShadow,string,true,styles,text
DividerBlock,style.hoverTransitionMs,number,true,styles,number
DividerBlock,style.imageScale,number,true,styles,slider+number
DividerBlock,style.marginBottom,string,true,styles,text
DividerBlock,style.marginLeft,string,true,styles,text
DividerBlock,style.marginRight,string,true,styles,text
DividerBlock,style.marginTop,string,true,styles,text
DividerBlock,style.overlayColor,string,true,styles,color
DividerBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
DividerBlock,style.padding,string,true,styles,text
DividerBlock,style.parallax,boolean,true,styles,toggle
DividerBlock,style.widthResp.desktop,string,true,styles,text (CSS)
DividerBlock,style.widthResp.mobile,string,true,styles,text (CSS)
DividerBlock,thickness,number,true,settings,slider+number
GalleryBlock,columns,number,true,settings,slider+number
GalleryBlock,images,array,false,content,media-multi
GalleryBlock,layout,enum<grid|carousel|masonry>,true,settings,segmented
GalleryBlock,objectFit,enum<none|cover|contain|fill|scale-down>,true,settings,segmented
GalleryBlock,objectPosition,string,true,settings,text (CSS)
GalleryBlock,showOnDesktop,boolean,true,settings,toggle
GalleryBlock,showOnLg,boolean,true,settings,toggle
GalleryBlock,showOnMd,boolean,true,settings,toggle
GalleryBlock,showOnMobile,boolean,true,settings,toggle
GalleryBlock,showOnSm,boolean,true,settings,toggle
GalleryBlock,showOnXl,boolean,true,settings,toggle
GalleryBlock,style.backgroundColor,string,true,styles,color
GalleryBlock,style.backgroundImageUrl,string,true,styles,media
GalleryBlock,style.backgroundPosition,string,true,styles,text (CSS)
GalleryBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
GalleryBlock,style.backgroundRepeat,string,true,styles,text
GalleryBlock,style.backgroundSize,string,true,styles,text (CSS)
GalleryBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
GalleryBlock,style.blendMode,string,true,styles,text
GalleryBlock,style.borderRadius,string,true,styles,text (CSS)
GalleryBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
GalleryBlock,style.gap,string,true,styles,text
GalleryBlock,style.gradientDirection,string,true,styles,text
GalleryBlock,style.gradientFrom,string,true,styles,text
GalleryBlock,style.gradientTo,string,true,styles,text
GalleryBlock,style.hoverOpacity,number,true,styles,slider+number(0..1,0.01)
GalleryBlock,style.hoverScale,number,true,styles,slider+number
GalleryBlock,style.hoverShadow,string,true,styles,text
GalleryBlock,style.hoverTransitionMs,number,true,styles,number
GalleryBlock,style.imageScale,number,true,styles,slider+number
GalleryBlock,style.marginBottom,string,true,styles,text
GalleryBlock,style.marginLeft,string,true,styles,text
GalleryBlock,style.marginRight,string,true,styles,text
GalleryBlock,style.marginTop,string,true,styles,text
GalleryBlock,style.overlayColor,string,true,styles,color
GalleryBlock,style.overlayOpacity,number,true,styles,slider+number(0..1,0.01)
GalleryBlock,style.padding,string,true,styles,text
GalleryBlock,style.parallax,boolean,true,styles,toggle
GalleryBlock,style.widthResp.desktop,string,true,styles,text (CSS)
GalleryBlock,style.widthResp.mobile,string,true,styles,text (CSS)
ImageBlock,alignment,enum<left|center|right>,true,settings,segmented
ImageBlock,altText,string,true,settings,text
ImageBlock,caption,string,true,content,text
ImageBlock,showOnDesktop,boolean,true,settings,toggle
ImageBlock,showOnLg,boolean,true,settings,toggle
ImageBlock,showOnMd,boolean,true,settings,toggle
ImageBlock,showOnMobile,boolean,true,settings,toggle
ImageBlock,showOnSm,boolean,true,settings,toggle
ImageBlock,showOnXl,boolean,true,settings,toggle
ImageBlock,size,enum<small|medium|large|full>,true,settings,segmented
ImageBlock,src,string,false,settings,media
ImageBlock,style.backgroundColor,string,true,styles,color
ImageBlock,style.backgroundImageUrl,string,true,styles,media
ImageBlock,style.backgroundPosition,string,true,styles,text (CSS)
ImageBlock,style.backgroundPositionCustom,string,true,styles,text (CSS)
ImageBlock,style.backgroundRepeat,string,true,styles,text
ImageBlock,style.backgroundSize,string,true,styles,text (CSS)
ImageBlock,style.backgroundSizeCustom,string,true,styles,text (CSS)
ImageBlock,style.blendMode,string,true,styles,text
ImageBlock,style.borderRadius,string,true,styles,text (CSS)
ImageBlock,style.canvasAlign,enum<left|center|right>,true,styles,segmented
ImageBlock,style.gap,string,true,styles,text
